Status/Disposal,Ear Tag,Ear Tag Location,Brand,Brand Location,Tattoo,Tattoo Location,Other ID,Other ID Location,Name,Registration Number,Breeder,Breeder Member Number,Owner,Owner Member Number,Date of Birth,Birth Method,Sire,Dam,Status,Type or Sex,Percent Purebred,Breed,Breed 1,Breed 2,Breed 3,Breed Comp 1,Breed Comp 2,Breed Comp 3,Horns,Color Markings,EPDType,EPD Reporting Period,Calving Ease Direct EPD,Calving Ease Direct Acc,Birth Weight EPD,Birth Weight Acc,Weaning Weight EPD,Weaning Weight Acc,Yearling Weight EPD,Yearling Weight Acc,Milk EPD,Milk Acc,Total Maternal EPD,Calving Ease Maternal EPD,Calving Ease Maternal Acc,Scrotal Circumference EPD,Scrotal Circumference Acc,Ribeye Area EPD,Ribeye Area Acc,Marbling EPD,Marbling Acc,Fat Thickness EPD,Fat Thickness Acc,Carcass Weight EPD,Carcass Weight  Acc,Percent Retail Cuts EPD,Percent Retail Cuts Acc,Intramuscular Fat EPD,Intramuscular Fat Acc,Birth Weight,Adjusted Birth Weight,Birth Contemp Group,Birth contemporaries,Birth Weight Ratio,Birth Height,Calving Ease,Birth Code,Nurse Code,Twin code,Dam Teat Score,Dam Udder Score,Dam Gestation Length,Weaning Date,Weaning Weight Date,Weaning Weight,Adjusted Weaning Weight,Weaning Contemp Group,Weaning Contemporaries,Weaning Weight Ratio,Weaning WDA,Weaning Height,Weaning Frame Score,Weaning Mgmt Code,Weaning Pasture Code,Weaning Sheath/Namvel,Yearling Date,Yearling Weight Date,Yearling Weight,Adjusted Yearling Weight,Yearling Contemp Group,Yearling Contemporaries,Yearling Weight Ratio,Yearling WDA,Yearling ADG,Yearling ADG Ratio,Yearling Height,Yearling Frame Score,Yearling Mgmt Code,Yearling Pasture Code,Yearling Sheath/Navel
0,,,C0271,RH,7138,RE,,,7138,1T110066,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/27/2017,NS,AF34621,X93929,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-6.2,0.1,1.5,0.08,44,0.07,80,0.01,25,0.05,47.28,,,,,,,,,,,,,,,,,0,,5650-4754,60,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7129,RE,,,7129,1T110090,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/5/2017,NS,AF42333,X93976,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-5.7,0.19,1.5,0.08,43,0.05,79,0.01,25,0.04,46.7455,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,6235,RE,,,6235,1T110106,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/10/2017,NS,AF42320,X93940,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-2.3,0.19,1.4,0.09,44,0.06,79,0.01,24,0.04,45.714,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7237,RE,,,7237,1T110115,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/17/2017,NS,AF34651,X94206,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,0.7,0.19,0.1,0.08,47,0.06,84,0.01,26,0.04,49.551003,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7235,RE,,,7235,1T110124,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/31/2017,NS,AF42330,X94200,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-5,0.19,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7160,RE,,,7160,1T110125,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/31/2017,NS,AF62396,X93897,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-5.4,0.19,1.7,0.08,44,0.04,79,0.01,26,0.03,47.6465,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7177,RE,,,7177,1T110135,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,4/16/2017,NS,AF62396,X93920,Active,C,,,AA,,XX,50,,50,H,,N,20240808,-5.4,0.19,1.7,0.08,44,0.04,79,0.01,26,0.03,47.6465,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7148,RE,,,7148,1T110136,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,4/18/2017,NS,AF62449,X93917,Active,C,,,AA,,XX,50,,50,P,,N,20240808,-6.1,0.19,2.5,0.08,47,0.07,84,0.01,25,0.05,48.822998,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7156,RE,,,7156,1T110138,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,4/23/2017,NS,AF62449,X110012,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-6.1,0.19,2.5,0.08,47,0.07,84,0.01,25,0.05,48.822998,,,,,,,,,,,,,,,,,0,,5651-4755,69,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7247,RE,,,7247,1T110142,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/7/2017,NS,AF28735,X94179,Active,C,,,AA,AN,XX,50,25,25,H,,N,20240808,-12.9,0.2,2,0.06,40,0.05,74,0.01,26,0.03,45.387,,,,,,,,,,,,,,,,,0,,5651-4756,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7087,RE,,,7087-705A,1T110143,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,3/14/2017,NS,AF36497,X93932,Active,C,,,AA,AN,XX,50,25,25,P,,N,20240808,-3.7,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5651-4756,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7155,RE,,,7155,1T110146,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/1/2017,NS,AF62449,X93878,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-6,0.19,2.5,0.08,47,0.07,84,0.01,25,0.05,48.822998,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7167,RE,,,7167,1T110148,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/17/2017,NS,AF62396,X93905,Active,B,,,AA,,XX,50,,50,H,,N,20240808,-5.3,0.18,1.7,0.08,44,0.04,79,0.01,26,0.03,47.6465,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7044,RE,,,7044,1T110149,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/17/2017,NS,AF40212,X109538,Active,B,,,AA,,XX,50,,50,H,,N,20240808,-0.4,0.2,0.9,0.09,41,0.06,77,0.01,27,0.04,47.4515,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7143,RE,,,7143,1T110150,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/17/2017,NS,AF42333,X93946,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-5.6,0.19,1.5,0.08,43,0.05,79,0.01,25,0.04,46.7455,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7096,RE,,,7096,1T110151,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/17/2017,NS,AF36497,X93975,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7008,RE,,,7008,1T110152,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/18/2017,NS,AF42320,X109567,Active,B,,,AA,,XX,50,,50,P,,N,20240808,-2.2,0.19,1.4,0.09,44,0.06,79,0.01,24,0.04,45.714,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7019,RE,,,7019-722,1T110153,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/18/2017,NS,AF36497,X93942,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7053,RE,,,7053,1T110154,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/19/2017,NS,AF40212,X93759,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-0.4,0.2,0.9,0.09,41,0.06,77,0.01,27,0.04,47.4515,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7084,RE,,,7084,1T110155,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/19/2017,NS,AF36497,X93796,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7186,RE,,,7186,1T110156,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/20/2017,NS,AF62396,X93913,Active,B,,,AA,,XX,50,,50,H,,N,20240808,-5.3,0.18,1.7,0.08,44,0.04,79,0.01,26,0.03,47.6465,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7031,RE,,,7031,1T110157,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/20/2017,NS,AF40212,X93771,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-0.4,0.2,0.9,0.09,41,0.06,77,0.01,27,0.04,47.4515,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7009,RE,,,7009,1T110158,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/22/2017,NS,AF42330,X109589,Active,B,,,AA,,XX,50,,50,H,,N,20240808,-4.9,0.19,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7005,RE,,,7005,1T110159,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/22/2017,NS,AF42330,X109554,Active,B,,,AA,BN,XX,50,25,25,H,,N,20240808,-4.9,0.19,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7139,RE,,,7139,1T110160,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF36497,X93923,Active,B,,,AA,BN,,50,50,,H,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7258,RE,,,7258,1T110161,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF28735,X94181,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-6,0.19,2,0.06,40,0.05,74,0.01,26,0.03,45.387,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7265,RE,,,7265,1T110162,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF40211,X109549,Active,B,,,AA,CH,XX,50,25,25,P,,N,20240808,0.3,0.17,0.2,0.08,40,0.06,75,0.01,27,0.04,46.493,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7239,RE,,,7239,1T110163,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF28735,X94244,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-6,0.19,2,0.06,40,0.05,74,0.01,26,0.03,45.387,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7045,RE,,,7045,1T110164,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF36497,X93935,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7011,RE,,,7011,1T110165,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF36497,X93962,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7050,RE,,,7050,1T110166,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/23/2017,NS,AF40212,X93786,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-0.4,0.2,0.9,0.09,41,0.06,77,0.01,27,0.04,47.4515,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7056,RE,,,7056,1T110167,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/24/2017,NS,AF42320,X109552,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-2.2,0.19,1.4,0.09,44,0.06,79,0.01,24,0.04,45.714,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7240,RE,,,7240,1T110168,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/24/2017,NS,AF40828,X94195,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-2.8,0.17,2.1,0.08,45,0.06,81,0.01,24,0.05,46.947,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7261,RE,,,7261,1T110169,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/24/2017,NS,AF40828,X94220,Active,B,,,AA,CH,XX,50,25,25,H,,N,20240808,-2.8,0.17,2.1,0.08,45,0.06,81,0.01,24,0.05,46.947,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7076,RE,,,7076,1T110170,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/24/2017,NS,AF36497,X93934,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,6239,RE,,,6239,1T110171,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/24/2017,NS,AF36497,X93952,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7125,RE,,,7125,1T110172,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/24/2017,NS,AF42330,X93792,Active,B,,,AA,AN,HP,50,25,25,H,,N,20240808,-4.9,0.19,2.1,0.08,42,0.05,77,0.01,27,0.04,48.2155,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7250,RE,,,7250,1T110173,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/25/2017,NS,AF34651,X94202,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,0.7,0.19,0.1,0.08,47,0.06,84,0.01,26,0.04,49.551003,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,6234,RE,,,6234,1T110174,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/25/2017,NS,AF36497,X93941,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-3.6,0.19,2.3,0.08,46,0.05,84,0.01,26,0.04,49.418,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,6240,RE,,,6240,1T110175,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/25/2017,NS,AF40818,X93782,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-5.4,0.18,3.6,0.08,49,0.07,88,0.01,28,0.04,52.665,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7099,RE,,,7099,1T110176,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/25/2017,NS,AF42333,X93974,Active,B,,,AA,AN,XX,50,25,25,H,,N,20240808,-5.6,0.19,1.5,0.08,43,0.05,79,0.01,25,0.04,46.7455,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7108,RE,,,7108,1T110177,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/25/2017,NS,AF40212,X93798,Active,B,,,AA,AN,,50,50,,H,,N,20240808,-0.4,0.2,0.9,0.09,41,0.06,77,0.01,27,0.04,47.4515,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,C0271,RH,7015,RE,,,7015,1T110178,ARTESIAN CATTLE & FARMING LLC,291,ARTESIAN CATTLE & FARMING LLC,291,2/26/2017,NS,AF40212,X93764,Active,B,,,AA,AN,XX,50,25,25,P,,N,20240808,-0.4,0.2,0.9,0.09,41,0.06,77,0.01,27,0.04,47.4515,,,,,,,,,,,,,,,,,0,,5650-4758,45,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
