,Status/Disposal,Brand,Brand Location,Tattoo,Tattoo Location,Name,Registration Number_x,Breeder,Breeder Member Number,Owner,Owner Member Number,Date of Birth,Birth Method,Sire_x,Dam,Status,Type or Sex,Breed 1,Breed 2,Breed 3,Breed Comp 1,Breed Comp 2,Breed Comp 3,Horns,EPDType,EPD Reporting Period,CED,CED Acc,BW,BW Acc,WW,WW Acc,YW,YW Acc,MK,MK Acc,TM,Birth Weight,Adjusted Birth Weight,Birth Contemp Group,Birth contemporaries,Birth Weight Ratio,Calving Ease,Twin code,Weaning Date,Weaning Weight Date,Weaning Weight,Adjusted Weaning Weight,Weaning Contemp Group,Weaning Contemporaries,Weaning Weight Ratio,Weaning WDA,Weaning Mgmt Code,Weaning Pasture Code,Yearling Date,Yearling Weight Date,Yearling Weight,Adjusted Yearling Weight,Yearling Contemp Group,Yearling Contemporaries,Yearling Weight Ratio,Yearling WDA,Yearling ADG,Yearling Mgmt Code,Yearling Pasture Code,Growth,Year_Born,Age,Designation,phn,animal_name,sire,sire_phn,sire_name,dam,dam_phn,dam_name,sire_sire,sire_sire_phn,sire_sire_name,sire_dam,sire_dam_phn,sire_dam_name,dam_sire,dam_sire_phn,dam_sire_name,dam_dam,dam_dam_phn,dam_dam_name,sire_sire_sire,sire_sire_sire_phn,sire_sire_sire_name,sire_sire_dam,sire_sire_dam_phn,sire_sire_dam_name,sire_dam_sire,sire_dam_sire_phn,sire_dam_sire_name,sire_dam_dam,sire_dam_dam_phn,sire_dam_dam_name,dam_sire_sire,dam_sire_sire_phn,dam_sire_sire_name,dam_sire_dam,dam_sire_dam_phn,dam_sire_dam_name,dam_dam_sire,dam_dam_sire_phn,dam_dam_sire_name,dam_dam_dam,dam_dam_dam_phn,dam_dam_dam_name,sire_sire_sire_sire,sire_sire_sire_sire_phn,sire_sire_sire_sire_name,sire_sire_sire_dam,sire_sire_sire_dam_phn,sire_sire_sire_dam_name,sire_sire_dam_sire,sire_sire_dam_sire_phn,sire_sire_dam_sire_name,sire_sire_dam_dam,sire_sire_dam_dam_phn,sire_sire_dam_dam_name,dam_sire_sire_sire,dam_sire_sire_sire_phn,dam_sire_sire_sire_name,dam_sire_sire_dam,dam_sire_sire_dam_phn,dam_sire_sire_dam_name,dam_sire_dam_sire,dam_sire_dam_sire_phn,dam_sire_dam_sire_name,dam_sire_dam_dam,dam_sire_dam_dam_phn,dam_sire_dam_dam_name,sire_dam_sire_sire,sire_dam_sire_sire_phn,sire_dam_sire_sire_name,sire_dam_sire_dam,sire_dam_sire_dam_phn,sire_dam_sire_dam_name,sire_dam_dam_sire,sire_dam_dam_sire_phn,sire_dam_dam_sire_name,sire_dam_dam_dam,sire_dam_dam_dam_phn,sire_dam_dam_dam_name,dam_dam_sire_sire,dam_dam_sire_sire_phn,dam_dam_sire_sire_name,dam_dam_sire_dam,dam_dam_sire_dam_phn,dam_dam_sire_dam_name,dam_dam_dam_sire,dam_dam_dam_sire_phn,dam_dam_dam_sire_name,dam_dam_dam_dam,dam_dam_dam_dam_phn,dam_dam_dam_dam_name,_merge,Carcass_Number,Sex,Color,Carcass_Weight,Quality,Yield,Member_Name,Registration Number_y,Sire_y,Member_ID,carcass_merge
595,0,C0271,RH,7194,RE,7194,1T110194,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-01,NS,AF62449,X93879,Active,B,AA,AN,,50.0,50.0,,H,N,20240808.0,-6.2,0.19,2.5,0.08,47.0,0.07,84.0,0.01,25.0,0.05,48.822998,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.49750000000002,2017.0,7.0,Bull,7194,7194,AF62449,3620B,HEARTBRAND 3620B,X93879,412,412,AF109,HB 459,TAMAMARU,AF2688,H2426R,HEARTBRAND H2426R,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF147,T0930J,HEARTBRAND T0930J,,,,,,,,,,,,,AJ116,KO 70,TAMANAMI KO 70,AJ133,KO 2030,FUJIMITSU KO 2030,AJ093,KO 71,DAI-SAN 3 MITSUMARU KO 71,AJ123,TOK 14289,DAI-HICHI 7 MARUNAMI TOK 14289,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF109,HB 459,TAMAMARU,AF115,T0504E,HEARTBRAND T0504E,,,,,,,,,,,,,both,1037,Steer,Black,1062,P,5,Artesian Cattle,1T110194,AF62449,,both
596,0,C0271,RH,7018,RE,7018,1T110195,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-01,NS,AF40212,X109544,Active,B,AA,,XX,50.0,,50.0,H,N,20240808.0,-0.5,0.2,0.9,0.09,41.0,0.06,77.0,0.01,27.0,0.04,47.4515,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,79.05910000000002,2017.0,7.0,Bull,7018,7018,AF40212,2451Z,HEARTBRAND 2451Z,X109544,656,656,AF4533,C4037S,HEARTBRAND CHARLIE C4037S,AF956,T0698N,HEARTBRAND T0698N,,,,,,,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,AF109,HB 459,TAMAMARU,AF140,H0916J,HEARTBRAND H0916J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF103,FJ352B,UME,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF125,S0538E,HEARTBRAND S0538E,,,,,,,,,,,,,both,1121,STEER,BLACK,848,P,3,Artesian Cattle,1T110195,AF40212,,both
597,0,C0271,RH,7092,RE,7092,1T110196,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-02,NS,AF36497,X93799,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2017.0,7.0,Bull,7092,7092,AF36497,1603Z,HEARTBRAND 1603Z,X93799,010,010,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,1125,STEER,BLACK,897,CH,2,Artesian Cattle,1T110196,AF36497,,both
598,0,C0271,RH,7249,RE,7249,1T110197,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-02,NS,AF28735,X94190,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-6.1,0.2,2.0,0.06,40.0,0.05,74.0,0.01,26.0,0.03,45.387,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,75.39500000000001,2017.0,7.0,Bull,7249,7249,AF28735,TW0757Z,TWINWOOD TW0757Z,X94190,214,214,AF6092,S5744T,HEARTBRAND S5744T,AF2246,T1986P,HEARTBRAND T1986P,,,,,,,AF110,HB 457,SHIGEMARU,AF851,T0601N,HEARTBRAND T0601N,AF109,HB 459,TAMAMARU,AF157,B0947J,HEARTBRAND B0947J,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,both,1057,STEER,BLACK,918,P,4,Artesian Cattle,1T110197,AF28735,,both
599,0,C0271,RH,7254,RE,7254,1T110198,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-02,NS,AF34651,X94217,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,0.6,0.19,0.1,0.08,47.0,0.06,84.0,0.01,26.0,0.04,49.551003,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,87.21990000000001,2017.0,7.0,Bull,7254,7254,AF34651,1177Z,HEARTBRAND 1177Z,X94217,242,242,AF7269,S6386U,HEARTBRAND KC S6386U,AF2374,C2113P,HEARTBRAND C2113P,,,,,,,AF110,HB 457,SHIGEMARU,AF230,C0062L,HEARTBRAND C0062L,AF123,H0518E,HEARTBRAND H0518E,AF6906,S0354L,HEARTBRAND S0354L,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF104,FJ354B,AKIKO,,,,,,,,,,,,,both,1049,STEER,RED,936,P,4,Artesian Cattle,1T110198,AF34651,,both
600,0,C0271,RH,7154,RE,7154,1T110199,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-02,NS,AF62396,X93898,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-5.4,0.19,1.7,0.08,44.0,0.04,79.0,0.01,26.0,0.03,47.6465,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.13130000000001,2017.0,7.0,Bull,7154,7154,AF62396,3628B,HEARTBRAND 3628B,X93898,431,ARTESIAN BAILEY 431,AF19339,9973Y,HEARTBRAND 9973Y,AF14107,9538Y,HEARTBRAND 9538Y,,,,,,,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,AF233,T0068L,HEARTBRAND T0068L,AF414,B0157M,HEARTBRAND B0157M,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF112,FJ244C,HEARTBRAND HITOMI 244,,,,,,,,,,,,,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,AF114,HB502E,BIG AL,AF126,S0528E,HEARTBRAND S0528E,,,,,,,,,,,,,both,1113,STEER,BLACK,966,CH,4,Artesian Cattle,1T110199,AF62396,,both
602,0,C0271,RH,7132,RE,7132,1T110201,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-02,NS,AF36497,X93960,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-3.7,0.19,2.3,0.08,46.0,0.05,84.0,0.01,26.0,0.04,49.418,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,86.51870000000001,2017.0,7.0,Bull,7132,7132,AF36497,1603Z,HEARTBRAND 1603Z,X93960,905,905,AF5638,S5204S,HEARTBRAND S5204S,AF8267,V6825U,HEARTBRAND V6825U,,,,,,,AF110,HB 457,SHIGEMARU,AF138,B0905J,HEARTBRAND B0905J,AF109,HB 459,TAMAMARU,AF1872,T1610P,HEARTBRAND T1610P,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF106,FJ357B,FUYUKO,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,,,,,,,,,,,,,both,880,Steer,Red MOT,1120,P,3,Artesian Cattle,1T110201,AF36497,,both
603,0,C0271,RH,7049,RE,7049,1T110202,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF40212,X93761,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-0.5,0.2,0.9,0.09,41.0,0.06,77.0,0.01,27.0,0.04,47.4515,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,79.05910000000002,2017.0,7.0,Bull,7049,7049,AF40212,2451Z,HEARTBRAND 2451Z,X93761,013,013,AF4533,C4037S,HEARTBRAND CHARLIE C4037S,AF956,T0698N,HEARTBRAND T0698N,,,,,,,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,AF109,HB 459,TAMAMARU,AF140,H0916J,HEARTBRAND H0916J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF103,FJ352B,UME,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF125,S0538E,HEARTBRAND S0538E,,,,,,,,,,,,,both,1046,STEER,RED WF,829,CH,3,Artesian Cattle,1T110202,AF40212,,both
604,0,C0271,RH,7230,RE,7230,1T110203,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF28735,X94183,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-6.1,0.2,2.0,0.06,40.0,0.05,74.0,0.01,26.0,0.03,45.387,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,75.39500000000001,2017.0,7.0,Bull,7230,7230,AF28735,TW0757Z,TWINWOOD TW0757Z,X94183,206,206,AF6092,S5744T,HEARTBRAND S5744T,AF2246,T1986P,HEARTBRAND T1986P,,,,,,,AF110,HB 457,SHIGEMARU,AF851,T0601N,HEARTBRAND T0601N,AF109,HB 459,TAMAMARU,AF157,B0947J,HEARTBRAND B0947J,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,both,1043,STEER,RED,890,CH,4,Artesian Cattle,1T110203,AF28735,,both
605,0,C0271,RH,7246,RE,7246,1T110204,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF28735,X94211,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-6.1,0.2,2.0,0.06,40.0,0.05,74.0,0.01,26.0,0.03,45.387,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,75.39500000000001,2017.0,7.0,Bull,7246,7246,AF28735,TW0757Z,TWINWOOD TW0757Z,X94211,235,235,AF6092,S5744T,HEARTBRAND S5744T,AF2246,T1986P,HEARTBRAND T1986P,,,,,,,AF110,HB 457,SHIGEMARU,AF851,T0601N,HEARTBRAND T0601N,AF109,HB 459,TAMAMARU,AF157,B0947J,HEARTBRAND B0947J,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF109,HB 459,TAMAMARU,AF137,B0806H,HEARTBRAND B0806H,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF114,HB502E,BIG AL,AF113,FJ245C,HEARTBRAND HIMAWARI 245,,,,,,,,,,,,,both,931,Steer,Red,905,CH,3,Artesian Cattle,1T110204,AF28735,,both
606,0,C0271,RH,7268,RE,7268,1T110205,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF34651,X94224,Active,B,AA,AK,XX,50.0,25.0,25.0,H,N,20240808.0,0.6,0.19,0.1,0.08,47.0,0.06,84.0,0.01,26.0,0.04,49.551003,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,87.21990000000001,2017.0,7.0,Bull,7268,7268,AF34651,1177Z,HEARTBRAND 1177Z,X94224,301,301,AF7269,S6386U,HEARTBRAND KC S6386U,AF2374,C2113P,HEARTBRAND C2113P,,,,,,,AF110,HB 457,SHIGEMARU,AF230,C0062L,HEARTBRAND C0062L,AF123,H0518E,HEARTBRAND H0518E,AF6906,S0354L,HEARTBRAND S0354L,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF104,FJ354B,AKIKO,,,,,,,,,,,,,both,1126,STEER,BLACK,999,P,3,Artesian Cattle,1T110205,AF34651,,both
607,0,C0271,RH,7164,RE,7164,1T110206,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF62396,X93880,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-5.4,0.19,1.7,0.08,44.0,0.04,79.0,0.01,26.0,0.03,47.6465,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.13130000000001,2017.0,7.0,Bull,7164,7164,AF62396,3628B,HEARTBRAND 3628B,X93880,413,413,AF19339,9973Y,HEARTBRAND 9973Y,AF14107,9538Y,HEARTBRAND 9538Y,,,,,,,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,AF233,T0068L,HEARTBRAND T0068L,AF414,B0157M,HEARTBRAND B0157M,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF112,FJ244C,HEARTBRAND HITOMI 244,,,,,,,,,,,,,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,AF114,HB502E,BIG AL,AF126,S0528E,HEARTBRAND S0528E,,,,,,,,,,,,,both,1051,STEER,RED,867,P,2,Artesian Cattle,1T110206,AF62396,,both
608,0,C0271,RH,7195,RE,7195,1T110207,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF62396,X93882,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-5.4,0.19,1.7,0.08,44.0,0.04,79.0,0.01,26.0,0.03,47.6465,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.13130000000001,2017.0,7.0,Bull,7195,7195,AF62396,3628B,HEARTBRAND 3628B,X93882,415,415,AF19339,9973Y,HEARTBRAND 9973Y,AF14107,9538Y,HEARTBRAND 9538Y,,,,,,,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,AF233,T0068L,HEARTBRAND T0068L,AF414,B0157M,HEARTBRAND B0157M,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF112,FJ244C,HEARTBRAND HITOMI 244,,,,,,,,,,,,,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,AF114,HB502E,BIG AL,AF126,S0528E,HEARTBRAND S0528E,,,,,,,,,,,,,both,1109,STEER,BLACK,996,P,3,Artesian Cattle,1T110207,AF62396,,both
610,0,C0271,RH,7198,RE,7198,1T110209,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF62396,X93914,Active,B,AA,,XX,50.0,,50.0,P,N,20240808.0,-5.4,0.19,1.7,0.08,44.0,0.04,79.0,0.01,26.0,0.03,47.6465,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.13130000000001,2017.0,7.0,Bull,7198,7198,AF62396,3628B,HEARTBRAND 3628B,X93914,448,448,AF19339,9973Y,HEARTBRAND 9973Y,AF14107,9538Y,HEARTBRAND 9538Y,,,,,,,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,AF233,T0068L,HEARTBRAND T0068L,AF414,B0157M,HEARTBRAND B0157M,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF114,HB502E,BIG AL,AF112,FJ244C,HEARTBRAND HITOMI 244,,,,,,,,,,,,,AF109,HB 459,TAMAMARU,AF161,B0951J,HEARTBRAND B0951J,AF114,HB502E,BIG AL,AF126,S0528E,HEARTBRAND S0528E,,,,,,,,,,,,,both,1110,STEER,BLACK,877,P,3,Artesian Cattle,1T110209,AF62396,,both
611,0,C0271,RH,6233,RE,6233,1T110210,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF42320,X109570,Active,B,AA,,XX,50.0,,50.0,P,N,20240808.0,-2.3,0.19,1.4,0.09,44.0,0.06,79.0,0.01,24.0,0.04,45.714,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,81.22160000000001,2017.0,7.0,Bull,6233,6233,AF42320,0704Z,BEEMAN 0704Z,X109570,625,625,AF2794,H2530R,HEARTBRAND H2530R,AF3277,S2962R,HEARTBRAND S2962R,,,,,,,AF107,HB 830,HIKARI,AF142,S0918J,HEARTBRAND S0918J,AF110,HB 457,SHIGEMARU,AF243,S0940L,HEARTBRAND S0940L,,,,,,,,,,,,,AJ110,KO 76,DAI-JU 10 MITSUMARU KO 76,AJ117,1KY 92958,KAZUTOMO 1KYU 92958,AF110,HB 457,SHIGEMARU,AF130,J0541F,HEARTBRAND J0541F,,,,,,,,,,,,,AJ114,TOK 27,DAI-NI 2 SHIGENAMI TOKKYU 27,AJ120,TOK 3357,DAI-YON 4 AKIBARE TOKKYU 3357,AF110,HB 457,SHIGEMARU,AF154,B0940J,HEARTBRAND B0940J,,,,,,,,,,,,,both,947,Steer,Black,988,CH,3,Artesian Cattle,1T110210,AF42320,,both
612,0,C0271,RH,7046,RE,7046,1T110211,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF40212,X93772,Active,B,AA,AN,XX,50.0,25.0,25.0,H,N,20240808.0,-0.5,0.2,0.9,0.09,41.0,0.06,77.0,0.01,27.0,0.04,47.4515,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,79.05910000000002,2017.0,7.0,Bull,7046,7046,AF40212,2451Z,HEARTBRAND 2451Z,X93772,704,704,AF4533,C4037S,HEARTBRAND CHARLIE C4037S,AF956,T0698N,HEARTBRAND T0698N,,,,,,,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,AF109,HB 459,TAMAMARU,AF140,H0916J,HEARTBRAND H0916J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF103,FJ352B,UME,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF125,S0538E,HEARTBRAND S0538E,,,,,,,,,,,,,both,954,Steer,Black,841,P,3,Artesian Cattle,1T110211,AF40212,,both
613,0,C0271,RH,6231,RE,6231,1T110212,ARTESIAN CATTLE & FARMING LLC,291.0,ARTESIAN CATTLE & FARMING LLC,291.0,2017-03-03,NS,AF40212,X93967,Active,B,AA,AN,XX,50.0,25.0,25.0,P,N,20240808.0,-0.5,0.2,0.9,0.09,41.0,0.06,77.0,0.01,27.0,0.04,47.4515,0.0,,5651-4759,96.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,79.05910000000002,2017.0,7.0,Bull,6231,6231,AF40212,2451Z,HEARTBRAND 2451Z,X93967,919,919,AF4533,C4037S,HEARTBRAND CHARLIE C4037S,AF956,T0698N,HEARTBRAND T0698N,,,,,,,AF123,H0518E,HEARTBRAND H0518E,AF141,S0917J,HEARTBRAND S0917J,AF109,HB 459,TAMAMARU,AF140,H0916J,HEARTBRAND H0916J,,,,,,,,,,,,,AF107,HB 830,HIKARI,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF110,HB 457,SHIGEMARU,AF103,FJ352B,UME,,,,,,,,,,,,,AJ125,TOK 96,DAI-GO 5 TAMANAMI TOKKYU 96,AF101,FJ461Z,DAI-HACHI 8 MARUNAMI,AF107,HB 830,HIKARI,AF125,S0538E,HEARTBRAND S0538E,,,,,,,,,,,,,both,1108,STEER,RED,827,P,3,Artesian Cattle,1T110212,AF40212,,both
